topic_id,document_count,word_count,avg_words_per_doc
0,308,10587,34.37337662337662
1,2358,87957,37.30152671755725
2,7058,291221,41.261122130915275
3,3351,83491,24.91524917934945
4,5239,106890,20.40274861614812
5,2530,102870,40.6600790513834
6,1364,54800,40.17595307917889
7,3307,156965,47.464469307529484
8,2256,105315,46.682180851063826
9,1195,32524,27.21673640167364
