n_topics,coherence,diversity,perplexity
5,0.06222222222222222,0.8055929343803689,495.83023793085226
10,0.08444444444444445,0.879781635294843,525.9233128057732
15,0.08,0.925442416652892,545.0712305739925
20,0.05888888888888889,0.9383048559789249,575.8829712544701
25,0.07644444444444445,0.9538318496406327,594.9781855296565
