topic_id,document_count,word_count,avg_words_per_doc
0,30,871,29.033333333333335
1,154,2475,16.071428571428573
2,320,14703,45.946875
3,37,1281,34.62162162162162
4,158,8336,52.75949367088607
5,63,701,11.126984126984127
6,515,9880,19.184466019417474
7,387,17472,45.14728682170543
8,1733,64948,37.47720715522216
9,414,16976,41.00483091787439
10,220,8463,38.46818181818182
11,167,6763,40.49700598802395
12,335,7683,22.934328358208955
13,77,2102,27.2987012987013
14,390,14702,37.697435897435895
